
Host: beboplogin3

Timers On : Fri Oct 13 09:49:31 2023
Timers Off: Fri Oct 13 09:55:35 2023

Wall Time:      363.58 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      2.583u      0.167s      0.353w     39 calls
Libint2ERI::Libint2ERI              :      5.117u      0.517s      0.683w    994 calls
DFH: initialize()                   :     10.400u      1.100s      0.876w     39 calls
DFH: AO Construction                :      0.783u      0.050s      0.043w     39 calls
DFH: AO-Met. Contraction            :      0.200u      0.000s      0.014w     39 calls
HF: Form core H                     :      2.283u      0.167s      0.126w     38 calls
HF: Form S/X                        :      0.383u      0.050s      0.017w     38 calls
HF: Guess                           :     56.800u      5.200s      3.101w     38 calls
SAD Guess                           :     55.067u      5.167s      3.011w     38 calls
HF: Form G                          :      2.600u      0.200s      0.129w    390 calls
JK: D                               :      0.117u      0.000s      0.009w    403 calls
JK: USO2AO                          :      0.067u      0.000s      0.004w    403 calls
JK: JK                              :      2.200u      0.183s      0.104w    403 calls
DFH: compute_JK()                   :      2.100u      0.183s      0.096w    403 calls
DFH: Grabbing AOs                   :      0.033u      0.033s      0.003w    403 calls
DFH: compute_J                      :      0.517u      0.033s      0.028w    403 calls
DFH: compute_K                      :      0.967u      0.033s      0.037w    403 calls
JK: AO2USO                          :      0.067u      0.000s      0.003w    403 calls
HF: Form F                          :      0.083u      0.017s      0.007w    390 calls
HF: Form D                          :      0.117u      0.000s      0.005w    390 calls
HF: DIIS                            :     28.133u      1.783s      1.495w    352 calls
HF: Form C                          :      4.950u      0.300s      0.273w    352 calls
Grad: V T Perturb                   :      1.300u      0.067s      0.069w     28 calls
Grad: S                             :      0.617u      0.017s      0.034w     28 calls
Grad: JK                            :     24.950u      2.150s      1.483w     28 calls
JKGrad: Amn                         :      6.033u      0.567s      0.329w     28 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     28 calls
JKGrad: AB                          :      5.383u      0.267s      0.287w     28 calls
JKGrad: UV                          :      0.117u      0.000s      0.005w     28 calls
JKGrad: ABx                         :      2.717u      0.167s      0.153w     28 calls
JKGrad: Amnx                        :      7.300u      0.667s      0.512w     28 calls
Grad: XC                            :      0.000u      0.000s      0.000w     28 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.050u      0.000s      0.002w      1 calls
Hess: T                             :      0.017u      0.000s      0.001w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :     10.850u      0.250s      0.554w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      2.583u      0.167s      0.353w     39 calls
| Libint2ERI::Libint2ERI            :      0.833u      0.117s      0.252w     39 calls
DFH: initialize()                   :     10.400u      1.100s      0.876w     39 calls
| Libint2ERI::Libint2ERI            :      1.367u      0.250s      0.270w    507 calls
| DFH: AO Construction              :      0.783u      0.050s      0.043w     39 calls
| DFH: AO-Met. Contraction          :      0.200u      0.000s      0.014w     39 calls
HF: Form core H                     :      2.283u      0.167s      0.126w     38 calls
HF: Form S/X                        :      0.383u      0.050s      0.017w     38 calls
HF: Guess                           :     56.800u      5.200s      3.101w     38 calls
| SAD Guess                         :     55.067u      5.167s      3.011w     38 calls
